Sample:	'20211010A(EM)
File name:	r-cds 1;5 2.FDS
Run date:	'08:06:33, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
802.6	3.110
802.8	2.760
803.0	3.831
803.2	4.295
803.4	4.648
803.6	5.480
803.8	5.576
804.0	5.327
804.2	4.824
804.4	3.862
804.6	2.997
804.8	3.052
805.0	2.903
805.2	3.632
805.4	4.104
805.6	3.894
805.8	4.587
806.0	5.424
806.2	4.978
806.4	4.817
806.6	4.212
806.8	3.464
807.0	3.756
807.2	3.578
807.4	2.943
807.6	2.828
807.8	2.046
808.0	2.540
808.2	3.284
808.4	4.035
808.6	4.421
808.8	4.793
809.0	3.466
809.2	3.284
809.4	2.935
809.6	3.162
809.8	3.063
810.0	3.760
810.2	3.461
810.4	3.862
810.6	4.226
810.8	4.360
811.0	3.809
811.2	3.724
811.4	4.219
811.6	4.406
811.8	3.971
812.0	3.331
812.2	2.134
812.4	2.211
812.6	3.616
812.8	3.962
813.0	4.326
813.2	4.210
813.4	3.565
813.6	3.368
813.8	2.879
814.0	2.776
814.2	3.813
814.4	4.645
814.6	5.139
814.8	5.281
815.0	4.554
815.2	4.775
815.4	4.491
815.6	4.258
815.8	3.524
816.0	3.392
816.2	2.690
816.4	2.478
816.6	2.444
816.8	3.242
817.0	3.748
817.2	4.699
817.4	4.190
817.6	3.759
817.8	3.642
818.0	4.107
818.2	4.997
818.4	6.642
818.6	6.772
818.8	6.387
819.0	5.918
819.2	4.660
819.4	3.922
819.6	3.193
819.8	2.499
820.0	3.149
820.2	4.270
820.4	5.288
820.6	5.132
820.8	4.347
821.0	3.538
821.2	3.463
821.4	3.383
821.6	4.277
821.8	4.221
822.0	5.388
822.2	5.451
822.4	4.535
822.6	3.894
822.8	3.650
823.0	3.457
823.2	4.716
823.4	4.954
823.6	4.538
823.8	4.421
824.0	3.982
824.2	3.761
824.4	4.050
824.6	3.750
824.8	3.396
825.0	3.395
825.2	3.152
825.4	3.917
825.6	5.084
825.8	6.192
826.0	6.303
826.2	5.531
826.4	4.957
826.6	4.568
826.8	3.678
827.0	4.406
827.2	4.637
827.4	4.273
827.6	4.790
827.8	4.580
828.0	3.351
828.2	4.177
828.4	5.148
828.6	5.458
828.8	5.098
829.0	4.944
829.2	4.411
829.4	4.461
829.6	4.495
829.8	3.708
830.0	2.828
830.2	3.375
830.4	4.165
830.6	4.427
830.8	4.357
831.0	3.342
831.2	2.442
831.4	2.981
831.6	3.697
831.8	3.832
832.0	4.222
832.2	4.190
832.4	3.538
832.6	3.705
832.8	3.689
833.0	3.709
833.2	4.219
833.4	4.950
833.6	4.287
833.8	3.732
834.0	3.144
834.2	3.274
834.4	3.833
834.6	4.662
834.8	3.944
835.0	3.336
835.2	2.842
835.4	3.057
835.6	2.767
835.8	2.762
836.0	2.060
836.2	1.875
836.4	2.601
836.6	3.304
836.8	3.836
837.0	3.898
837.2	3.686
837.4	3.389
837.6	3.133
837.8	2.915
838.0	3.603
838.2	3.217
838.4	3.085
838.6	3.050
838.8	2.566
839.0	2.513
839.2	2.854
839.4	2.330
839.6	1.921
839.8	2.262
840.0	2.692
840.2	2.782
840.4	2.909
840.6	2.666
840.8	2.227
841.0	2.552
841.2	3.269
841.4	3.160
841.6	2.981
841.8	2.624
842.0	2.277
842.2	2.502
842.4	2.785
842.6	2.563
842.8	2.751
843.0	2.643
843.2	2.486
843.4	1.903
843.6	1.977
843.8	1.822
844.0	2.535
844.2	2.631
844.4	2.930
844.6	2.243
844.8	2.232
845.0	2.380
845.2	2.630
845.4	2.889
845.6	3.676
845.8	3.053
846.0	2.657
846.2	2.283
846.4	2.063
846.6	2.157
846.8	2.344
847.0	1.838
847.2	2.870
847.4	3.167
847.6	3.466
847.8	3.139
848.0	2.475
848.2	1.444
848.4	2.085
848.6	2.444
848.8	2.770
849.0	2.645
849.2	2.698
849.4	1.795
849.6	1.818
849.8	2.007
850.0	1.838
850.2	1.481
850.4	1.983
850.6	1.661
850.8	1.788
851.0	2.191
851.2	2.162
851.4	2.329
851.6	3.124
851.8	2.965
852.0	2.365
852.2	2.678
852.4	3.040
852.6	2.846
852.8	2.670
853.0	2.693
853.2	2.102
853.4	2.338
853.6	2.157
853.8	1.710
854.0	1.535
854.2	2.221
854.4	2.075
854.6	1.695
854.8	1.211
855.0	1.105
855.2	1.301
855.4	1.631
855.6	2.049
855.8	1.917
856.0	1.499
856.2	1.624
856.4	1.608
856.6	1.519
856.8	1.983
857.0	2.039
857.2	1.558
857.4	1.625
857.6	1.520
857.8	1.743
858.0	2.196
858.2	2.439
858.4	2.187
858.6	1.532
858.8	0.818
859.0	1.005
859.2	1.565
859.4	2.247
859.6	2.417
859.8	1.900
860.0	1.353
860.2	1.588
860.4	1.472
860.6	1.833
860.8	2.066
861.0	1.846
861.2	1.890
861.4	2.324
861.6	2.256
861.8	2.868
862.0	2.959
862.2	2.394
862.4	2.081
862.6	2.228
862.8	1.494
863.0	1.944
863.2	1.289
863.4	2.090
863.6	2.725
863.8	3.355
864.0	2.774
864.2	2.251
864.4	1.198
864.6	2.030
864.8	2.652
865.0	3.487
865.2	3.281
865.4	2.418
865.6	1.860
865.8	2.156
866.0	2.152
866.2	2.564
866.4	2.184
866.6	2.232
866.8	2.507
867.0	2.791
867.2	2.449
867.4	2.326
867.6	1.568
867.8	1.177
868.0	1.731
868.2	1.617
868.4	1.903
868.6	2.066
868.8	1.831
869.0	1.452
869.2	2.368
869.4	1.980
869.6	1.859
869.8	2.178
870.0	2.583
870.2	2.497
870.4	2.606
870.6	2.150
870.8	1.676
871.0	1.736
871.2	2.401
871.4	2.347
871.6	2.051
871.8	2.035
872.0	2.130
872.2	1.928
872.4	2.232
872.6	1.780
872.8	1.336
873.0	1.321
873.2	2.105
873.4	2.368
873.6	2.439
873.8	2.442
874.0	1.882
874.2	1.520
874.4	1.790
874.6	1.921
874.8	1.904
875.0	2.167
875.2	1.929
875.4	1.446
875.6	1.579
875.8	1.331
876.0	1.844
876.2	1.731
876.4	1.924
876.6	1.972
876.8	1.879
877.0	1.420
877.2	1.774
877.4	1.091
877.6	1.702
877.8	1.701
878.0	1.648
878.2	2.214
878.4	2.278
878.6	1.765
878.8	1.718
879.0	1.780
879.2	2.100
879.4	2.458
879.6	2.062
879.8	1.683
880.0	1.208
880.2	1.827
880.4	2.086
880.6	1.874
880.8	1.779
881.0	1.692
881.2	2.107
881.4	2.361
881.6	2.084
881.8	1.989
882.0	1.834
882.2	1.599
882.4	1.867
882.6	1.795
882.8	1.133
883.0	1.572
883.2	2.020
883.4	2.041
883.6	2.197
883.8	2.990
884.0	2.785
884.2	3.074
884.4	3.250
884.6	2.737
884.8	2.489
885.0	2.440
885.2	1.918
885.4	2.221
885.6	2.684
885.8	2.891
886.0	2.927
886.2	1.876
886.4	2.046
886.6	2.361
886.8	2.616
887.0	2.505
887.2	2.444
887.4	2.548
887.6	3.086
887.8	3.004
888.0	2.483
888.2	1.629
888.4	1.289
888.6	1.536
888.8	1.115
889.0	1.673
889.2	1.906
889.4	1.900
889.6	2.568
889.8	2.346
890.0	1.832
890.2	2.213
890.4	1.798
890.6	1.366
890.8	1.883
891.0	2.120
891.2	2.346
891.4	2.470
891.6	1.682
891.8	1.523
892.0	1.602
892.2	1.663
892.4	1.541
892.6	1.633
892.8	1.520
893.0	1.701
893.2	1.822
893.4	1.768
893.6	1.765
893.8	2.425
894.0	2.684
894.2	2.364
894.4	2.075
894.6	2.458
894.8	3.074
895.0	3.300
895.2	2.997
895.4	1.800
895.6	0.916
895.8	1.003
896.0	1.722
896.2	1.872
896.4	2.600
896.6	3.244
896.8	3.471
897.0	2.635
897.2	2.014
897.4	1.267
897.6	1.841
897.8	2.542
898.0	3.421
898.2	2.888
898.4	2.779
898.6	2.433
898.8	2.262
899.0	1.226
899.2	1.474
899.4	1.216
899.6	1.932
899.8	2.514
900.0	2.467

