Sample:	'20211010A(EM)	
File name:	G-CDs 8 800.FDS	
Run date:	'10:43:22, 06/11/2023	
Operator:	Administrator	
Comment:	'	
		
Instrument		
Model:	F-4700 FL Spectrophotometer	
Serial number:	2019-001	
ROM Version:	5J24010 00	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	400.0 nm	
EM  Start WL:	420.0 nm	
EM  End WL:	800.0 nm	
Scan speed:	1200 nm/min	
Delay:	0.0 s	
EX Slit:	10.0 nm	
EM Slit:	10.0 nm	
PMT Voltage:	440 V	
Response:	0.002 s	
Corrected spectra:	Off	
Shutter control:	On	
		
Data points		
687.8	155.2	
688.0	153.1	
688.2	151.6	
688.4	151.0	
688.6	150.0	
688.8	148.8	
689.0	147.1	
689.2	146.1	
689.4	144.8	
689.6	144.7	
689.8	143.7	
690.0	142.7	
690.2	141.6	
690.4	140.4	
690.6	139.0	
690.8	138.3	
691.0	137.5	
691.2	137.0	
691.4	136.1	
691.6	135.1	
691.8	134.0	
692.0	133.0	
692.2	132.3	
692.4	132.2	
692.6	131.1	
692.8	129.6	
693.0	127.8	
693.2	126.7	
693.4	126.2	
693.6	126.0	
693.8	125.2	
694.0	124.8	
694.2	123.5	
694.4	123.1	
694.6	122.5	
694.8	120.7	
695.0	118.8	
695.2	118.0	
695.4	117.5	
695.6	117.8	
695.8	118.1	
696.0	117.1	
696.2	115.7	
696.4	114.6	
696.6	113.5	
696.8	111.5	
697.0	110.8	
697.2	110.0	
697.4	109.8	
697.6	109.5	
697.8	108.9	
698.0	108.1	
698.2	108.2	
698.4	107.3	
698.6	106.7	
698.8	105.3	
699.0	104.3	
699.2	103.9	
699.4	103.9	
699.6	103.2	
699.8	102.3	
700.0	100.8	
700.2	100.2	
700.4	99.55	
700.6	99.12	
700.8	98.72	
701.0	97.80	
701.2	96.20	
701.4	95.44	
701.6	94.86	
701.8	94.66	
702.0	94.93	
702.2	94.52	
702.4	94.06	
702.6	93.24	
702.8	92.70	
703.0	92.00	
703.2	91.46	
703.4	90.23	
703.6	89.67	
703.8	88.98	
704.0	88.37	
704.2	88.12	
704.4	87.95	
704.6	87.45	
704.8	86.95	
705.0	86.45	
705.2	85.18	
705.4	84.39	
705.6	83.94	
705.8	83.72	
706.0	83.70	
706.2	82.89	
706.4	82.37	
706.6	81.41	
706.8	80.77	
707.0	80.41	
707.2	80.25	
707.4	79.59	
707.6	79.47	
707.8	78.38	
708.0	77.72	
708.2	77.21	
708.4	76.78	
708.6	76.35	
708.8	75.63	
709.0	75.23	
709.2	74.87	
709.4	74.58	
709.6	74.30	
709.8	73.74	
710.0	72.60	
710.2	71.83	
710.4	71.28	
710.6	71.00	
710.8	70.60	
711.0	70.25	
711.2	69.63	
711.4	68.97	
711.6	68.48	
711.8	67.91	
712.0	67.49	
712.2	66.35	
712.4	65.74	
712.6	65.68	
712.8	65.71	
713.0	65.12	
713.2	64.78	
713.4	63.88	
713.6	63.99	
713.8	63.93	
714.0	63.77	
714.2	62.44	
714.4	61.84	
714.6	61.90	
714.8	62.11	
715.0	61.92	
715.2	61.15	
